"code"§"label_good"
"lmb242"§"Abbadia Lariana"
"lmb275"§"Albese con Cassano"
"lmb165"§"Albino-- Fiobbio"
"lmb257"§"Albino--Fiobbio Monte Misma"
"lmb345"§"Almenno San Bartolomeo--località carosso - atterraggio parapendio"
"lmb315"§"Almenno San Bartolomeo--Scuole Medie"
"lmb223"§"Almenno San Salvatore"
"lmb240"§"Alzate Brianza"
"lmb372"§"Arcore"
"lmb010"§"Barlassina"
"lmb002"§"Barzio"
"lmb302"§"Berbenno-- centro"
"lmb166"§"Besana in Brianza--Naresso"
"lmb123"§"Besana in Brianza--Villa Raverio"
"lmb339"§"Bovisio Masciago"
"lmb094"§"Brignano Gera d'Adda"
"lmb225"§"Calco"
"lmb236"§"Calolziocorte--Sopracornola "
"lmb319"§"Calvenzano"
"lmb333"§"Cantù--Fecchio"
"lmb230"§"Capiago Intimiano--Via Degli Arconi"
"lmb267"§"Carpiano--centro"
"lmb005"§"Casalpusterlengo (prima)"
"lmb310"§"Casalpusterlengo (seconda)"
"lmb253"§"Casargo--Località Piazzo"
"lmb046"§"Cassano d'Adda"
"lmb314"§"Castano Primo"
"lmb323"§"Castellanza--centro"
"lmb006"§"Castelli Calepio"
"lmb235"§"Cesano Maderno"
"lmb334"§"Civenna--Piano Rancio"
"lmb039"§"Codogno"
"lmb313"§"Colere--Colere "
"lmb370"§"Costa Volpino--fraz. Volpino"
"lmb292"§"Cuasso al Monte--Cavagnano"
"lmb375"§"Dorno-- Via Canevari"
"lmb277"§"Fenegrò"
"lmb352"§"Gaggiano--centro"
"lmb368"§"Gazzaniga"
"lmb136"§"Giussano"
"lmb331"§"Gromo--Rifugio Vodala"
"lmb207"§"Lazzate"
"lmb325"§"Lentate sul Seveso--Copreno"
"lmb238"§"Lesmo--via Po"
"lmb174"§"Lipomo"
"lmb287"§"Lissone"
"lmb096"§"Lodi--v.le Europa (prima)"
"lmb168"§"Lodi--San Bernardo"
"lmb191"§"Lodi--v.le Europa (seconda)"
"lmb369"§"Magnago--Farè Spagarino"
"lmb300"§"Malnate--loc. San Salvatore"
"lmb338"§"Meda--Via Como"
"lmb175"§"Mezzana Bigli"
"lmb208"§"Milano"
"lmb298"§"Milano--Bicocca"
"lmb289"§"Milano--Lambrate"
"lmb254"§"Milano--Maxwell"
"lmb206"§"Milano--via Noto"
"lmb326"§"Milano--Lorenteggio/Primaticcio"
"lmb322"§"Miradolo Terme--via Marconi 29"
"lmb259"§"Monza"
"lmb286"§"Monza--Parco"
"lmb171"§"Monza--Via Della Robbia"
"lmb224"§"Monza--Via Monti e Tognetti"
"lmb173"§"Monza--Via S. Martino"
"lmb170"§"Monza--Via Sgambati"
"lmb135"§"Muggiò"
"lmb201"§"Orsenigo--Via Cascina Foppa 25"
"lmb320"§"Paderno Dugnano"
"lmb079"§"Paladina"
"lmb213"§"Peschiera Borromeo--Bellaria (Mi)"
"lmb366"§"Retorbido--Via Staffora"
"lmb228"§"Robecco sul Naviglio--castellazzo"
"lmb371"§"Rodano--Trenzanesio"
"lmb087"§"Rogeno--Casletto di Rogeno"
"lmb265"§"San Donato Milanese--via primo maggio"
"lmb241"§"San Giovanni Bianco"
"lmb377"§"San Giovanni Bianco--Frazione Cornalita "
"lmb189"§"Sangiano"
"lmb220"§"Saronno"
"lmb361"§"Senago"
"lmb362"§"Senago--Senago Nord ovest"
"lmb103"§"Seregno--nord"
"lmb080"§"Seregno--ovest"
"lmb021"§"Seregno--Seregno Centro"
"lmb167"§"Sesto San Giovanni--Parco Nord"
"lmb179"§"Treviglio"
"lmb359"§"Triuggio--Canonica"
"lmb353"§"Uboldo"
"lmb294"§"Valbrona--Visino"
"lmb109"§"Valmadrera"
"lmb358"§"Vigano San Martino"
"lmb335"§"Villa d'Ogna--via piave"
"lmb346"§"Zinasco"
"pmn033"§"Vicolungo-Borgo di Zuxiana"
"pmn047"§"Trecate-S. Maria"
"pmn076"§"Novara-sant'Antonio"
"pmn101"§"Cavallirio"
"pmn105"§"Soriso"
"pmn109"§"Sozzago"
"pmn125"§"Arona-Parco della Rocca Borromeo"
"pmn147"§"Galliate"
