code;latitudine;longitudine;altitudineslm;strumentazione;regione;comune;area;provincia;label_tmp;label_good
lmb320;45,582202;9,148175;163;Davis Vantage Pro 2 ventalata h24 + Sesore radiazione solare + Kit Trasmissione anemometro + weatherlinkIP;Lombardia;Paderno Dugnano;;MI;Paderno Dugnano;Paderno Dugnano
lmb079;45,7237985265742;9,60908889770508;270;Davis Vantage Pro 2;Lombardia;Paladina;;BG;Paladina;Paladina
lmb213;45,422883338288;9,30657863616943;107;Davis vantage PRO 2 wireless con ventilazione daytime;Lombardia;Peschiera Borromeo;Bellaria (Mi);MI;Peschiera Borromeo--Bellaria (Mi);Peschiera Borromeo--Bellaria (Mi)
lmb366;44,950836;9,032439;156;PCE-FWS20;Lombardia;Retorbido;Via Staffora;PV;Retorbido--Via Staffora;Retorbido--Via Staffora
lmb228;45,3675843688498;8,7890625;129;davis vantage vue;Lombardia;Robecco sul Naviglio;castellazzo;MI;Robecco sul Naviglio--castellazzo;Robecco sul Naviglio--castellazzo
lmb371;45,489612;9,362524;117;Davis Vantage Pro 2;Lombardia;Rodano;Trenzanesio;MI;Rodano--Trenzanesio;Rodano--Trenzanesio
lmb087;45,7895051283137;9,27142292261124;285;Davis Vantage Pro 2;Lombardia;Rogeno;Casletto di Rogeno;LC;Rogeno--Casletto di Rogeno;Rogeno--Casletto di Rogeno
lmb265;45,4149408933979;9,27789974230109;113;davis vantage pro2 8 piatti ventilato daytime;Lombardia;San Donato Milanese;via primo maggio;MI;San Donato Milanese--via primo maggio;San Donato Milanese--via primo maggio
lmb241;45,874768271882;9,65175479650497;402;Davis Vantage pro 2;Lombardia;San Giovanni Bianco;;BG;San Giovanni Bianco;San Giovanni Bianco
lmb377;45,871219;9,643046;550;davis vantage pro 2 wireless con kit day time;Lombardia;San Giovanni Bianco;Frazione Cornalita ;BG;San Giovanni Bianco--Frazione Cornalita ;San Giovanni Bianco--Frazione Cornalita 
lmb189;45,8712959854503;8,631070822521;230;Davis Vantage Pro Plus;Lombardia;Sangiano;;VA;Sangiano;Sangiano
lmb220;45,634373;9,024983;220;Davis vantage pro 2 kit daytime;Lombardia;Saronno;;VA;Saronno;Saronno
lmb361;45,574874;9,105782;180;Davis vp2 ;Lombardia;Senago;;MI;Senago;Senago
lmb362;45,580842;9,119532;170;Davis vantage pro2;Lombardia;Senago;Senago Nord ovest;MI;Senago--Senago Nord ovest;Senago--Senago Nord ovest
lmb103;45,6575627484889;9,21201467514038;229;Davis Vantage Pro;Lombardia;Seregno;nord;MB;Seregno--nord;Seregno--nord
lmb080;45,6538431862759;9,17903423309326;224;Davis Vantage Pro Plus 2;Lombardia;Seregno;ovest;MB;Seregno--ovest;Seregno--ovest
lmb021;45,653115743009;9,19899523258209;224;Davis Vantage Pro 2, pluviometro manuale;Lombardia;Seregno;Seregno Centro;MB;Seregno--Seregno Centro;Seregno--Seregno Centro
lmb167;45,5381436785791;9,2096221446991;141;Davis Vantage Pro 2;Lombardia;Sesto San Giovanni;Parco Nord;MI;Sesto San Giovanni--Parco Nord;Sesto San Giovanni--Parco Nord
lmb179;45,5100361481069;9,5751686085714;125;Davis Vantage Pro Plus 2;Lombardia;Treviglio;;BG;Treviglio;Treviglio
lmb359;45,653095;9,282214;221;Davis Vantage Pro 2;Lombardia;Triuggio;Canonica;MB;Triuggio--Canonica;Triuggio--Canonica
lmb353;45,610882;8,99071;205;oregon WMR300;Lombardia;Uboldo;;VA;Uboldo;Uboldo
lmb294;45,8689333623769;9,28961920668371;470;Davis vantage pro2;Lombardia;Valbrona;Visino;CO;Valbrona--Visino;Valbrona--Visino
lmb109;45,85;9,37;260;Davis Vantage Pro 2, termometro Oregon MTR101 in schermo passivo Davis, Pluviometro manuale;Lombardia;Valmadrera;;LC;Valmadrera;Valmadrera
lmb358;45,726016;9,900189;320;Stazione meteo Oregon Scientific WMR 88 con schermo solare passivo Davis;Lombardia;Vigano San Martino;;BG;Vigano San Martino;Vigano San Martino
lmb335;45,90774;9,929117;550;Davis VP2;Lombardia;Villa d'Ogna;via piave;BG;Villa d'Ogna--via piave;Villa d'Ogna--via piave
lmb346;45,123225;9,027023;84;Davis Vantage Pro 2;Lombardia;Zinasco;;PV;Zinasco;Zinasco
pmn033;45,4732569320914;8,46355497837067;170;Davis Vantage Pro 2;Piemonte;Vicolungo;Vicolungo (Borgo di Zuxiana);NO;Vicolungo-Vicolungo (Borgo di Zuxiana);Vicolungo-Borgo di Zuxiana
pmn047;45,42;8,73;136;Davis Vantage Pro 2;Piemonte;Trecate;Trecate S. Maria;NO;Trecate-Trecate S. Maria;Trecate-S. Maria
pmn076;45,46542817465;8,61744403839111;160;Davis Vantage Vue;Piemonte;Novara;Novara(sant'antonio);NO;Novara-Novara(sant'antonio);Novara-sant'Antonio
pmn101;45,6573377819876;8,40089321136475;370;Davis Vantage Pro2 24h Fan Aspiraed;Piemonte;Cavallirio;;NO;Cavallirio;Cavallirio
pmn105;45,7416518164454;8,41084957122803;452;Davis vantage pro 2 con ventilazione diurna;Piemonte;Soriso;;NO;Soriso;Soriso
pmn109;45,3974103448917;8,71918559074402;129;Oregon Scientific WMR180;Piemonte;Sozzago;;NO;Sozzago;Sozzago
pmn125;45,763841;8,554144;365;Stazione Davis Vantage pro2 WI-Fi, Web Cam Mobotix m25 HD;Piemonte;Arona;Parco della Rocca Borromeo;NO;Arona-Parco della Rocca Borromeo;Arona-Parco della Rocca Borromeo
pmn147;45,470331;8,694344;150;DAVIS VANTAGE VUE;Piemonte;Galliate;;NO;Galliate;Galliate
